category,title,url,source,date,article
정치,"크레인 사고 6일 만에, 삼성중공업 일부 작업장 조업 재개",,중앙일보,20170506,"크레인사고로 조업을 중단한 삼성중공업 거제조선소가 6일 일부 작업장에서 부분작업을 재개했다. 지난 1일 타워크레인이 전복돼 6명이 사망하는 등 30여명이 사상당한지 6일만이다.,사고 직후 고용노동부는 삼성중공업 거제조선소 공장에 작업중지 명령을 했다. 이후 작업장에 대한 안전진단, 고용노동부의 사고경위 조사, 경찰의 압수수색 등이 이어졌다. 고용노동부 통영지청은 원청인 삼성중공업 관계자들을 상대로 사고 경위를 조사했고, 이후 협력업체 담당자들을 불러 안전규정을 준수했는지, 근로기준법 위반은 아닌지 등을 물었다.,삼성중공업은 사고 6일만인 이날 쉘 LFNG 작업장, CAT-J 프로젝트 작업장은 위험요인이 제거됐다고 판단해 고용노동부에 작업중지 해제 요청을 했다. 이에 따라 3만5000여명의 근로자 중 1300여명이 작업장에 투입돼 작업을 재개했다.,다만, 고용노동부와 경찰의 사고경위 규명은 계속되고 있다. 경찰은 앞서 사고원인과 더불어 “근로자의날, 휴일에 공기를 맞추려고 원청에서 협력업체에 어떻게 지시가 갔는지 확인할 계획”이라고 발표했다.,한편, 사고를 두고 청년단체 ‘청년전태일’은 “청년노동자들이 생계를 위해 하도급 노동자가 돼야 하고 자신이 일한 것에 비해 낮은 임금을 받아야 하는 현실이 이번 사고로 드러났다”며 “상대적으로 안전한 관리업무는 정규직이, 위험한 작업은 하청 노동자가 담당하는 위험의 외주화가 일상화된 상태에서 하청 노동자의 죽음은 예견된 것”이라고 지적했다.,채윤경 기자 pchae@joongang.co.kr"
정치,'성희롱 사건'에 대한 유담의 똑 부러지는 한마디,,중앙일보,20170506," 6일 유승민 바른정당 대선후보의 딸 유담씨가 최근 불거진 성희롱 사건과 관련해 ""피해자가 숨어야 하는 일은 우리나라에서 절대 있어서는 안 될 일""이라며 심경을 밝혔다.,유씨는 이날 경기 수원 월드컵경기장 인사 직후 기자들과 만나 ""하루 동안 쉬면서 생각해봤다""며 ""이런 불미스러운 일이 생겼을 때일수록 더 당당히 나서야 한다""고 했다. 유 후보의 선거운동 지원 과정에서 성희롱을 당한 유씨는 전날 하루 유세를 중단했다가 이날부터 재개했다 , 그는 ""피해자가 숨어야 하는 일은 저희가 살아가야 할 우리나라에서 절대 있어선 안 될 일이고, 저희 아버지 유 후보가 꿈꾸는 대한민국에서는 결코 없을 일""이라고 강조했다.,이어 ""많은 분이 위로해주고 격려해줘서 우선 감사드린다""며 ""후보 가족이 후보자를 돕는 건 너무 당연한 일이다. 자식이 아버지를 돕지 않는 게 더 이상한 일""이라고 말했다. , 그는 ""아버지께서는 저한테 계속 '미안하다, 이제 그만하면 됐다'고 말씀하셨다""면서도 ""전 처음부터 자진해서 아버지를 돕기로 한 것이고, 지금도 아버지가 대한민국을 바로 세울 유일한 후보라고 믿고 있기 때문에 끝까지 아버지를 도울 것""이라고 덧붙였다."
정치,"이세돌 9단, 文 지지선언..""4년전 선거 복기 잘 한듯""",,중앙일보,20170506,"이 9단은 ""이번 더불어민주당 경선에 참가한 후보 모두를 좋아한다""며 ""경선 당시 문 후보가 민주당 대선후보로 결정되면 어떻게 할 거냐고 묻는 사람이 많았다. 1초의 망설임도 없이 문 후보를 도울 거라고 말했다""고 밝혔다. ,이세돌 9단이 문재인 더불어민주당 대선후보에 대한 지지를 선언한 가운데 6일 'TV 찬조연설'에 나섰다.,앞서 이 9단은 더불어민주당 대선후보 경선 당시 안희정 충남지사의 후원회장을 맡은 바 있다. 이 9단은 ""경선 경쟁자가 지금 문 후보를 진심을 다해 적극적으로 돕는 것을 보면, 제 생각이 틀리지 않은 걸 확인하는 것 같아 뿌듯하다""며 문 후보에 대한 지지 의사를 밝혔다.,이날 이 9단은 ""문 후보는 4년 전 선거에 대한 복기를 잘한 것으로 보인다""며 ""내분으로 지리멸렬하던 민주당을 개혁해서 국민의 지지와 사랑을 받는 당으로 바꿔 놓았다""고 문 후보를 평가했다. 이어 ""민주당은 전국적으로 고르게 지지를 받는 119개의 의석을 가진 원내 제1당이 됐다. 차기, 차차기에 민주정부를 이어갈 인재가 넘쳐난다""며 ""4년 동안의 복기 끝에 얻어낸 경험과 자신감으로 새로운 대한민국의 대통령이 될 준비를 마쳤다""고 지지 이유를 밝혔다.,박상욱 기자 park.lepremier@joongang.co.kr"
정치,"유승민 ""여론조사대로 결과 나오면 드라마 아냐..사표 걱정 말고 소신투표"" 호소",,중앙일보,20170506,"이곳 외에도 유 후보는 강남 가로수길, 서초 센트럴시티 등지에서 젊은층과 만나 ""여러분의 미래, 대한민국의 미래를 지키고 싶다""며 청년층의 표심을 자극했다. 특히, 가로수길 유세 현장에는 김무성 바른정당 중앙선거대책위원장이 등장해 ""썩은 대한민국 정치를 바로잡아야 한다""며 ""국회의원 300명 중 기호4번 유승민 후보가 제일 깨끗한 국회의원""이라고 강조했다.,유 후보는 수원삼성블루윙즈와 울산현대축구단의 프로축구 경기가 열린 경기 수원시 수원월드컵경기장에서도 젊은 스포츠팬들과 만났다. , 한편, 유 후보는 이날 오전 경기 광주 '나눔의집'에서 열린 '위안부 피해자 할머니 효잔치'에 참석해 할머니들과 만났다. 유 후보는 ""늦게 찾아봬서 죄송하다""며 ""앞으로 더 자주 찾아 뵙도록 하겠다""고 약속했다. 나눔의집 측은 이날 행사에 주요 대선후보들에게 초청장을 보낸 가운데, 실제 행사에 참석한 대선후보는 유 후보뿐이었다. ,유승민 바른정당 대선후보가 6일 '유찍기' 구호를 외치며 경기 광주와 수원, 서울 등 수도권 일대에 걸쳐 유세에 나섰다. '유찍기'는 '유승민을 찍으면 기적이 된다'의 줄임말이다.,유 후보는 이날 LG트윈스와 두산베어스의 프로야구 경기가 열린 서울 잠실야구장에서 유권자들을 향해 ""25년 전 동네야구에서 홈런을 친 사람이다. 4번타자 유승민이 역전 홈런을 치겠다""라며 지지를 호소했다. 이어 ""여론조사대로 결과가 나오면 그건 드라마가 아니다""라며 ""사표가 될 걱정 말고 소신투표를 해달라""고 강조했다.,유 후보는 이날 축사에서 ""새 정부가 출범하면 지체하지 말고 일본 정부에 한일 위안부 합의 재협상을 요구해야 한다""며 ""일본이 응하지 않으면 파기하겠다""고 밝혔다.,박상욱 기자 park.lepremier@joongang.co.kr"
정치,"安 ""최순실보다 더한 김현철 손 든 文..적폐 주장은 적반하장""",,중앙일보,20170506,"안철수 국민의당 대선후보가 6일 ""최순실보다 더한 국정농단으로 나라를 어지럽힌 장본인이 김현철""이라며 문재인 더불어민주당 대선후보를 맹비난했다. 김영삼 전 대통령의 차남인 김현철 국민대 특임교수는 문 후보에 대한 지지선언에 이어 지난 5일엔 부산 지역 유세에 동행한 바 있다. , 안 후보는 이날 광주 금남로 유세현장에서 ""문 후보가 김현철의 손을 들어 올렸다""며 ""그런 사람과 함께 하면서 상대방을 적폐연대라고 한다. 적반하장 아닌가""라며 ""말과 행동이 다른 후보에게 더이상 속지 말아야 한다""고 비판했다. ,안 후보는 이날 문 후보와 홍준표 자유한국당 대선후보 모두를 같은 '적폐'와 '과거'로 지칭했다. ""이번 대선은 대한민국이 다시 분열과 갈등과 절망에 빠질 것인지 희망을 품고 다시 꿈꾸는 미래로 나아갈 것인지를 결정하는 선거""라며 ""정말 여러 번 기회를 줬지만 국민께 돌아오는 것은 하나도 없었다. 홍 후보를 찍으면 또 부패하고 무능한 도로 새누리당 정권이다. 문 후보를 찍으면 또다시 무능한 계파 패거리 정치를 보게 된다. 지금 문 후보와 홍 후보 어느 쪽을 뽑아도 국민은 분열된다""고 강조했다.,한편, 이날 유세연설을 마친 안 후보는 박지원 대표와 주승용 원내대표 등 당 지도부와 함께 '임을 위한 행진곡'을 제창했다.,박상욱 기자 park.lepremier@joongang.co.kr"
정치,"국민의당 ""문준용 친구들의 왜곡된 우정이 안타깝다""",,중앙일보,20170506," 문재인 더불어민주당 대선후보의 아들 문준용씨와 미국 파슨스 디자인스쿨 대학원을 함께 다녔다고 주장하는 동료의 증언을 놓고 진실 공방이 이어진 가운데, 국민의당이 ""준용씨의 특혜채용 의혹을 제기하는 사람들은 모두 '가짜' 프레임에 가두는 전략을 쓰고 있다""고 비판했다.,김철근 중앙선대위 대변인은 6일 논평을 내고 ""문준용씨 대학 동기들이 준용씨를 변호하고 나섰다. 준용이는 아버지의 신분을 드러내지 않는 겸손하고 착한 친구였다는 것""이라며 이같이 전했다.,김 대변인은 ""변호인 친구의 댓글 부대들은 한술 더 떠 준용씨에 대한 동정론을 확산시키고 있다""며 ""문준용 친구들과 그 댓글 부대에 묻고 싶다. 당신들도 입사원서에 귀걸이를 한 사진을 올렸는가? 점퍼 차림 사진을 이력서에 붙인 적이 있는가? 마감 일자를 훨씬 넘겨 입사원서를 제출한 적이 있는가?""라고 반문했다. ,이어 ""준용씨는 흙수저 출신의 수십만 취업준비생들의 마음을 갈기갈기 찢어버린 특혜왕자""라며 ""이재명 성남시장도 문준용의 고용정보원 입사과정에 의문을 제기하지 않았던가. 준용씨의 행동과 문 후보 지금의 침묵을 정상으로 보는 국민은 없다""고 했다.,그러면서 ""수년간 동고동락했던 대학 친구 준용씨를 보호해주고 싶은 마음은 충분히 이해한다. 하지만 불의에 동조하는 우정은 결코 아름답지 않다""고 덧붙였다. ,앞서 자신을 문준용씨의 대학교 동창이자 대학원 시절 룸메이트라고 주장한 송모씨 등은 국민의당이 제기한 한국고용정보원 취업특혜 주장을 반박하는 글을 SNS에 게재했다.,아울러 문준용씨의 건국대학교 동문 44명은 이날 성명을 내고 ""파슨스 동료 증언은 있을 수 없는 허무맹랑한 내용""이라며 ""문준용씨에 대한 반인권적 마녀사냥을 즉각 멈추라""고 촉구했다."
정치,"자유한국당, 바른정당 탈당파 13명 일괄복당, 서청원 등 친박 징계 해제",,중앙일보,20170506," 바른정당에서 탈당한 13명의 의원과 기초단체장, 광역의원 등 56명이 복당하게 됐다. 또 친박핵심인 서청원ㆍ최경환ㆍ윤상현 의원에게 내려졌던 당원권 정지 징계는 해제됐고, 이완구 전 원내대표도 당원권이 회복됐다. 재판을 받고 있는 이완영ㆍ권석창 의원 등에 대한 징계는 효력 정지됐다. ,홍 후보의 이런 조치는 대선을 3일 앞두고 이뤄진 조치로 친박과 비박의 힘을 모두 결집하겠다는 의도로 풀이된다. 당초 홍 후보는 비상대책위원회 회의를 열고 절차를 밟아달라고 요구했으나, 당내에서는 선거를 앞둔 시기라는 이유로 난색을 표했다. 자유한국당은 비대위 의결을 건너뛰는 근거로 당헌 104조를 들었다. ‘대통령 후보자는 선출된 날로부터 선거일까지 선거업무의 효율적 추진을 위해 필요한 범위 내에서 당무 전반에 관한 모든 권한을 가진다’는 조항이다. , 다만 박근혜 전 대통령을 비롯해 구속상태인 당원들의 징계는 해제되지 않았다. ,자유한국당이 바른정당에서 탈당한 의원 13명과 무소속 정갑윤 의원 등 14명을 복당시키고, 친박 핵심인사들의 징계를 해제하기로 했다. 대선후보인 홍준표 후보의 지시에 따른 조치다.,이철우 사무총장은 6일 여의도 당사에서 기자회견을 열고 ""홍준표 후보의 특별지시에 따라 한국당의 대선승리와 보수대통합을 위해 재입당 신청자의 일괄복당, 징계 해제를 결정했다”고 했다.,한편, ‘자유한국당이 경북 안동지역에서 지적장애인을 사전투표에 동원했다’는 의혹에 대해 홍 후보는 “참 시비 걸 것도 없다”고 잘라 말했다.,홍 후보는 6일 여의도 당사에서 해당 의혹에 대한 질문을 받고 “왜 그걸 나한테 묻느냐”며 “대한민국 전체에서 이뤄지는 걸 내가 어떻게 아느냐”고 말했다. 투표 동원 관련 의혹을 부인한 것이다.,앞서 ‘오마이뉴스’는 자유한국당 경북선거대책위원회 부위원장을 맡은 김모 씨가 자신이 운영하는 안동지역 복지시설의 승합차를 이용해 지적장애인 10여명을 홍 후보의 유세장에 동원하고, 이들에게 사전투표에서 홍 후보를 찍도록 종용했다는 의혹을 제기했다. 보도 후 안동경찰서는 수사에 착수했다.,채윤경 기자 pchae@joongang.co.kr"
정치,"반말의 대가 홍준표, '니는 순경?' '왜 나를 싫어하니?' '청와대에 초청할게'",,중앙일보,20170506,"자유한국당 홍준표 후보가 잇따른 반말로 구설에 올랐다. 홍 후보는 3일 서울 마포구 홍익지구대를 찾아 현장의 경찰들과 악수하며 “니는 순경?” “니도 순경?” “니는 경장이고?”라며 반말을 했다. 처음 만난 경찰들에게 반말을 건넨 그는 이후 지구대원들과 한 자리에 둘러앉아 ”요즘은 경찰이 가도 겁도 안먹는다면서? (주취자들이 경찰에게) 막 술먹고 대드는데 어떻게 친절하게해. 막 쥐어박아?”라고 물었다. ,홍 후보는 지금까지 초면에 반말 건네기, 토론 중 상대에게 반말하는 스타일로 유명했다. 상대방과 대화할 때도 '저는' 대신 '나는'이라는 말을 쓰곤 한다. 지난 2일 대선후보 TV토론에서는 ""문 후보님이 대통령 되면 보수 불태운다고 했죠. 그럼 나는 화형당하겠네?""라고 했고, 지난달 4일에는 JTBC 뉴스룸에 출연해 ""지금 손(석희) 박사도 재판 받고 있으면서 질문하면 안 되지. 그건 국민이 판단할 사항이고""라고 답변했다. ,홍 후보는 이 자리에서 “내가 집권하면 경찰과 검찰을 동등한 기관으로 만들려고 한다”며 “폴리스라인을 넘어설때는 가차없이 물리력을 행사해서 제압하는 사회질서를 만들 것”이라고 말했다. “폭력 시위는 용서 안 해”라고 하기도 했다. ,앞서 2일에는 서울 마포구의 한 카페에서 tvN 프로그램 SNL 코리아 9 에서 자신을 흉내내는 ‘레드준표’ 역을 맡은 개그우먼 정이랑씨에게 “미스정이 뜨면 대통령 됩니다. 내가 대통령이 되면 청와대에 초청할게, 거 팀들 다”라며 편하게 말했다.,홍 후보는 지난달 8일에도 자신의 페이스북에 청년들을 향한 글을 쓰면서 “20대 청년들에 대한 저의 지지가 낮은 것은 아마도 꼰대 이미지 때문일 겁니다” 라며 “그렇지만 저는 흙수조 출신으로 무학인 아버지와 문맹인 어머니 사이에서 태어났습니다”라고 했다. 그러면서 글의 말미에 “그래서 자신있게 이땅의 청년들에게 한마디 하고자 합니다. 야들아 내가 너의들의 롤모델이다. 그런데 왜 나를 싫어하냐?”라고 반말로 글을 맺었다.,이런 태도에 대해 더불어민주당 조응천 의원은 자신의 페이스북에 ""공직후보자는 ""제가..""라며 자신을 낮추는 게 마땅하지 않느냐""며 ""저건 강한게 아니라 무례한 것이고 은연중에 인격을 드러내는 것. 홍 후보가 당선되면 5년간 얼마나 반쪼가리 말을 들어야 할지 막막하다""고 비판했다. ,채윤경 기자 pchae@joongang.co.kr"
정치,"문준용 건대 동문 44명 ""반인권적 마녀사냥 즉각 멈추라"" 성명 발표",,중앙일보,20170506,"문재인 더불어민주당 대선후보의 아들 준용씨의 건국대학교 동문 44명이 6일 성명을 내고 ""문준용 씨에 대한 반인권적 마녀사냥을 즉각 멈추라""고 촉구했다. , 문씨와 대학 동기라며 자신을 소개한 오민혁 씨 등 건국대학교 시각멀티미디어 디자인과 및 제품디자인과 출신 44명은 이날 ""준용씨는 영상 예술에 관한 한, 학부 시절부터 손꼽히는 인재였다""며 ""국민의당의 소위 '파슨스 동료' 증언은 있을 수 없는 허무맹랑한 내용""이라고 주장했다.,이들은 ""고용정보원 취업과 관련하여 준용씨의 실력을 문제삼는 것은 결코 있을 수 없고 이해할 수 없는 일""이라고 밝혔다. ""학부와 파슨스 스쿨 대학원, 현역 예술가로 활동하며 발표한 그의 작품들은 여러 해외 전시, 특히 뉴욕현대미술관(MoMA), Onedotzero, 국립현대미술관 등에 초청되는 등 국제 예술계에서 이미 예술성과 완성도를 인정받았다""는 것이다.,또, ""학부 때만 해도 이미 준용씨는 대기업이든 공기업이든 자신의 진로를 펼쳐나가기에 전혀 부족함이 없는 실력을 갖고 있었다""며 ""저희 동기들 역시 상당수가 여러 대기업에 성공적으로 취업했으며, 핵심 디자인 인력으로 일하고 있다""고 덧붙였다.,한편, 문씨의 유학시절 생활에 대해 ""돈을 물 쓰듯이 쓰고 다녔다""는 의혹 제기에 대해선 ""실소를 금할 수 없다""며 ""(대학 재학시절) 그는 결코 자신의 배경에 대해 자랑하거나 떠벌린 적이 없고, 누구보다도 검소한 생활을 했던 친구""라고 문씨를 옹호했다.,이들은 ""준용씨는 물론, 그와 같이 공부했던 학교 친구 및 동문들의 명예까지 실추시키는 부당한 공격을 즉각 멈춰줄 것을 간곡히 호소한다""고 덧붙였다.,다음은 성명서 내용 전문.,문준용씨에 대한 반인권적 마녀사냥을 즉각 멈춰주십시오.,저희는 문준용씨와 학교를 같이 다닌 건국대학교 시각멀티미디어 디자인과 동기들입니다. 대통령 후보의 아들 이전 한 학우의 인권이 무참히 짓밟히고, 더 나아가 우리 모교와 학과의 명예마저 심각하게 실추되는 상황을 더 이상 지켜볼 수가 없어 준용씨와 친분이 있는 동기·동문들의 뜻을 모아 아래와 같은 사실을 밝히면서, 현재 진행되고 있는 정치권의 부당한 공격을 즉시 멈춰주길 촉구합니다.,1. 준용씨는 영상 예술에 관한 한 학부 시절부터 손꼽히는 인재였습니다.,고용정보원 취업과 관련하여 준용씨의 실력을 문제삼는 것은 결코 있을 수 없고 이해할 수 없는 일입니다. 준용씨는 학부 시절부터 뛰어난 실력으로 영상 예술 분야 동아리활동을 주도하는 위치였고 그런 배경으로 동아리 대표로 활동하기도 했습니다.
이미 잘 알려져 있는 4회의 국내 공모전 입상은 이 분야에서는 결코 쉽지 않은 일입니다. 단 한 곳의 공모전에만 입상해도 탁월한 실력자로 인정받는 것이 현실입니다.
또한 학부와 파슨스스쿨 대학원, 그리고 현역 예술가로 활동하며 발표한 그의 작품들은 여러 해외 전시, 특히 뉴욕현대미술관(MoMA), Onedotzero, 국립현대미술관 등에 초청되는 등 국제 예술계에서 이미 예술성과 완성도를 인정받고 있습니다. 그럼에도 불구하고 실력도 없는 사람이 아버지의 배경으로 취업했고 해외 유명 디자인스쿨에 입학했다는 주장은 너무도 부당한 것입니다.
학부 때만 해도 이미 준용씨는 대기업이든 공기업이든 자신의 진로를 펼쳐나가기에 전혀 부족함이 없는 실력을 갖고 있었습니다. 저희 동기들 역시 상당수가 여러 대기업에 성공적으로 취업했으며, 핵심 디자인 인력으로 일 하고 있습니다.,2. 건국대학교 디자인과는 국내 유수의 디자인 인력 배출 학과입니다.,준용씨의 의혹을 끊임없이 만들어내고 증폭하는 사람들은 저희 과의 수준이 떨어져 파슨스스쿨 입학 스펙 쌓기 차원에서 고용정보원이라는 공기업에 취업을 했고, 더 나아가 고용정보원에 취업을 하기에도 부족한 스펙이라는 주장까지 하고 있습니다.
그러나 저희 건국대학교 디자인과는 이 분야의 명문으로 디자인 분야에 조금이라도 조예가 있는 사람이면 절대 이런 주장을 할 수 없습니다. 특히 ""시각디자인과는 충주 캠퍼스에만 개설된 학과""라며 준용씨의 실력과 수준을 폄하하기도 합니다.  
당시 저희가 다녔던 시각디자인 학과의 정확한 명칭은 서울캠퍼스 디자인문화대학 시각멀티미디어 디자인과이며, 현재는 예술문화대학 커뮤니케이션디자인과로 이름이 변경되었습니다.
시각디자인과가 서울캠퍼스에 있든 충주 캠퍼스에 있든 이 같은 발언은 지방캠퍼스에 대한 무시이자 우리 충주 캠퍼스 동문들에 대한 모욕으로 용납하기 어렵습니다.,3. 국민의당의 소위 파슨스 동료 증언은 있을 수 없는 허무맹랑한 내용입니다.,준용씨의 성품과 생활이 어떠했는지는 이미 교수님과 학우들의 회고를 통해 여러 차례 소개됐습니다. 준용씨와 조금이라도 함께 한 경험이 있는 학우들은 모두 알고 있습니다. 그는 결코 자신의 배경에 대해 자랑하거나 떠벌린 적이 없고, 누구보다도 검소한 생활을 했던 친구입니다. 심지어 그와 아주 가까운 친구들도 졸업 후인 2007년 고용정보원 입사가 처음 문제가 됐을 때야 비로소 그의 아버지가 문재인 청와대 비서실장이라는 것을 알게 됐고, 과 동기들 대부분은 2012년 대선 때까지 그 사실을 전혀 알지 못했을 정도입니다.
그의 유학 시절 생활을 같이 했던 송용섭씨가 이미 밝힌 바와 같이, 준용씨가 아버지와 고용정보원에 대해 미주알고주알 얘기하고 다녔다는 것은 그의 평소 성품으로 미뤄볼 때 결코 있을 수 없는 일입니다. 더 나아가 그가 ""돈을 물 쓰듯이 쓰고 다녔다""는 부분에서는 실소를 금할 수가 없습니다.,저희는 디자인업계, 예술분야에 종사하고 있는 사람들로서 현실 정치에 대해서는 잘 모릅니다. 그러나 준용씨에 대해 이어지고 있는 의혹 제기는 이미 검증의 차원을 넘어 인권 유린의 수준에 이르고 있으며 국민의 생명과 인권을 보호해야 할 정치권에서 이런 무책임한 허위 사실 유포 행위가 이어지고 있다는 사실에 실망과 분노를 금치 못합니다.
정치권은 지금이라도 이성을 되찾아 한 인격체로서의 준용이는 물론, 그와 같이 공부했던 학교 친구 및 동문들의 명예까지 실추시키는 이런 부당한 공격을 즉각 멈춰달라고 간곡히 호소하는 바입니다.,건국대학교 시각멀티미디어 디자인과 및
제품디자인과(1학년 같은 디자인학부 포함)
00학번 동기 및 선후배 일동,박상욱 기자 park.lepremier@joongang.co.kr"
정치,"문 측 ""문준용씨 허위사실 유포 국민의당 3명 검찰 고발"" vs 국민의당 ""고발 환영""",,중앙일보,20170506,"더불어민주당 문재인 후보 측이 6일 문 후보의 아들 준용씨와 관련해 허위사실을 유포한 혐의로 국민의당 관계자 세 명을 검찰에 고발했다. 이에 국민의당 측은 “민주당의 검찰 고발을 환영한다”며 “검찰은 즉각 수사에 착수해 진실을 밝히라”고 대응했다.,문재인 후보 측 김태년 특보단장은 이날 “국민의당 공명선거추진단 김성호 수석부단장, 김인원 부단장, 신원불상의 인사 등 세 명을 공직선거법상 허위사실 유포와 비방 등 혐의로 검찰에 고발한다”고 했다. 김 단장은 “국민의당은 전날 음성 변조된 녹음 파일 주인공을 밝히지 않은 채 특정 언론사에 이메일 인터뷰를 주선하겠다고 했지만, 아직까지 해당 인물이 누구인지조차 공개하지 않고 있다”며 고발 이유를 밝혔다.,앞서 국민의당은 문 후보의 아들 준용씨의 한국고용정보원 특혜취업 의혹을 뒷받침할 대학원 동료 A씨의 증언을 확보했다며 녹음 파일을 공개했다.,국민의당은 이에 논평을 내고 “준용씨의 특혜취업 의혹은 정치적 논란의 대상이 아니라 권력형 비리에 대한 진실을 알고자 하는 국민의 열망”이라며 “그런데 민주당은 느닷없이 진실을 규명하려는 본인과 김인원 부단장을 검찰에 고발했다”고 반발했다. ,국민의당 김성호 공명선거추진단 수석부단장은 “민주당은 느닷없이 진실을 지라시로 폄하하고 검찰 공권력을 악용하여 ‘진실 규명자’의 입을 틀어막는 문 후보와 민주당의 작태에 유감을 표한다”며 “검찰은 권력의 눈치를 보며 ‘대선기간’이라는 핑계로 복지부동하지 말고 즉각 수사에 착수하여 진실을 규명하기 바란다”고 밝혔다.,채윤경 기자 pchae@joongang.co.kr"
